node_type,vector_column,feature_index,feature_name,safe_primary_input,modeling_note
playlist,features_safe,12,title_hash_11,True,included in safe feature vector
playlist,features_safe,13,title_hash_12,True,included in safe feature vector
playlist,features_safe,14,title_hash_13,True,included in safe feature vector
playlist,features_safe,15,title_hash_14,True,included in safe feature vector
playlist,features_safe,16,title_hash_15,True,included in safe feature vector
playlist,features_safe,17,title_hash_16,True,included in safe feature vector
playlist,features_safe,18,title_hash_17,True,included in safe feature vector
playlist,features_safe,19,title_hash_18,True,included in safe feature vector
playlist,features_safe,20,title_hash_19,True,included in safe feature vector
playlist,features_safe,21,title_hash_20,True,included in safe feature vector
playlist,features_safe,22,title_hash_21,True,included in safe feature vector
playlist,features_safe,23,title_hash_22,True,included in safe feature vector
playlist,features_safe,24,title_hash_23,True,included in safe feature vector
playlist,features_safe,25,title_hash_24,True,included in safe feature vector
playlist,features_safe,26,title_hash_25,True,included in safe feature vector
playlist,features_safe,27,title_hash_26,True,included in safe feature vector
playlist,features_safe,28,title_hash_27,True,included in safe feature vector
playlist,features_safe,29,title_hash_28,True,included in safe feature vector
playlist,features_safe,30,title_hash_29,True,included in safe feature vector
playlist,features_safe,31,title_hash_30,True,included in safe feature vector
playlist,features_safe,32,title_hash_31,True,included in safe feature vector
playlist,features_safe,33,title_hash_32,True,included in safe feature vector
playlist,features_safe,34,title_hash_33,True,included in safe feature vector
playlist,features_safe,35,title_hash_34,True,included in safe feature vector
playlist,features_safe,36,title_hash_35,True,included in safe feature vector
playlist,features_safe,37,title_hash_36,True,included in safe feature vector
playlist,features_safe,38,title_hash_37,True,included in safe feature vector
playlist,features_safe,39,title_hash_38,True,included in safe feature vector
playlist,features_safe,40,title_hash_39,True,included in safe feature vector
playlist,features_safe,41,title_hash_40,True,included in safe feature vector
playlist,features_safe,42,title_hash_41,True,included in safe feature vector
playlist,features_safe,43,title_hash_42,True,included in safe feature vector
playlist,features_safe,44,title_hash_43,True,included in safe feature vector
playlist,features_safe,45,title_hash_44,True,included in safe feature vector
playlist,features_safe,46,title_hash_45,True,included in safe feature vector
playlist,features_safe,47,title_hash_46,True,included in safe feature vector
playlist,features_safe,48,title_hash_47,True,included in safe feature vector
playlist,features_safe,49,title_hash_48,True,included in safe feature vector
playlist,features_safe,50,title_hash_49,True,included in safe feature vector
playlist,features_safe,51,title_hash_50,True,included in safe feature vector
playlist,features_safe,52,title_hash_51,True,included in safe feature vector
playlist,features_safe,53,title_hash_52,True,included in safe feature vector
playlist,features_safe,54,title_hash_53,True,included in safe feature vector
playlist,features_safe,55,title_hash_54,True,included in safe feature vector
playlist,features_safe,56,title_hash_55,True,included in safe feature vector
playlist,features_safe,57,title_hash_56,True,included in safe feature vector
playlist,features_safe,58,title_hash_57,True,included in safe feature vector
playlist,features_safe,59,title_hash_58,True,included in safe feature vector
playlist,features_safe,60,title_hash_59,True,included in safe feature vector
playlist,features_safe,61,title_hash_60,True,included in safe feature vector
playlist,features_safe,62,title_hash_61,True,included in safe feature vector
playlist,features_safe,63,title_hash_62,True,included in safe feature vector
playlist,features_safe,64,title_hash_63,True,included in safe feature vector
track,features_with_popularity_context,0,z_log_duration_seconds,True,included in safe feature vector
track,features_with_popularity_context,1,audio_features_available,True,included in safe feature vector
track,features_with_popularity_context,2,z_catalog_danceability,True,included in safe feature vector
track,features_with_popularity_context,3,z_catalog_energy,True,included in safe feature vector
track,features_with_popularity_context,4,z_catalog_loudness,True,included in safe feature vector
track,features_with_popularity_context,5,z_catalog_speechiness,True,included in safe feature vector
track,features_with_popularity_context,6,z_catalog_acousticness,True,included in safe feature vector
track,features_with_popularity_context,7,z_catalog_instrumentalness,True,included in safe feature vector
track,features_with_popularity_context,8,z_catalog_liveness,True,included in safe feature vector
track,features_with_popularity_context,9,z_catalog_valence,True,included in safe feature vector
track,features_with_popularity_context,10,z_catalog_tempo,True,included in safe feature vector
track,features_with_popularity_context,11,z_catalog_release_year,True,safe with cohort caution; also supplied in a no-time vector
track,features_with_popularity_context,12,catalog_explicit,True,included in safe feature vector
track,features_with_popularity_context,13,catalog_mode,True,included in safe feature vector
track,features_with_popularity_context,14,catalog_tempo_was_missing,True,included in safe feature vector
track,features_with_popularity_context,15,key_0,True,included in safe feature vector
