node_type,feature,median,mean,std
track,log_duration_ms,12.277653498635262,12.256228908910865,0.4220261221943484
track,danceability,0.577,0.5636118663282205,0.16610134726429163
track,energy,0.549,0.5420710857069806,0.2519101430783556
track,loudness,-9.247,-10.205788933193094,5.089418001457122
track,speechiness,0.0443,0.10487004914754279,0.17990232983725216
track,acousticness,0.422,0.44980296824764526,0.34881211645987803
track,instrumentalness,2.42e-05,0.1134246805753145,0.26684268774512493
track,liveness,0.139,0.2139331967044042,0.18432765765686843
track,valence,0.564,0.5523061941031459,0.25767316931787143
track,tempo,117.362,118.53355333693627,29.6307284438368
track,release_year,1992.0,1988.571729335613,22.826223289139516
track,log_artist_count,0.6931471805599453,0.7923852520538937,0.2367681263812948
track,matched_artist_ratio,1.0,0.9732111665662013,0.1462704610594628
artist,log_artist_followers,4232.0,8.128634544941285,2.937808047608602
artist,genre_count,0.0,1.3573661983269716,1.850614648855943
artist,artist_popularity_context,34.0,34.080555104361245,16.769483685411267
