epoch,loss,ranking_loss,validation_ndcg_at_10,seconds
1,0.6883742809295654,0.6883646845817566,0.04943745897952359,1.04076540004462
2,0.6857683062553406,0.6857584118843079,0.05083619879123152,0.8116711000911891
3,0.6823106408119202,0.682300329208374,0.05394453106985173,0.7955405998509377
4,0.6780386567115784,0.678027868270874,0.05680256672344736,0.8480374999344349
5,0.6728754639625549,0.6728641390800476,0.06199648065010349,0.8107825999613851
6,0.6668059229850769,0.666793942451477,0.06678943689232568,0.8818827997893095
7,0.659684956073761,0.6596722602844238,0.07409328595797994,0.8918792000040412
8,0.6516238451004028,0.6516103744506836,0.08219745349562434,0.7830785000696778
9,0.6427305936813354,0.6427162289619446,0.0911113688009339,0.9027296998538077
10,0.6323814392089844,0.6323660612106323,0.10109369068438402,0.794684800086543
11,0.6211791634559631,0.6211627125740051,0.1120159666694455,0.7800750001333654
12,0.6091229915618896,0.6091053485870361,0.12556390780609536,0.8980620000511408
13,0.5958742499351501,0.5958552956581116,0.1382332172248511,0.7746806999202818
14,0.581809401512146,0.5817890763282776,0.15056609465406967,0.7779675999190658
15,0.5662700533866882,0.5662481784820557,0.16317531172797917,1.0424246999900788
16,0.5504561066627502,0.5504326224327087,0.17564132172116434,1.0137897001113743
17,0.5332167744636536,0.5331915020942688,0.18819814538938967,0.9022937999106944
18,0.5159634351730347,0.5159362554550171,0.19839944487696343,0.9743673999328166
19,0.4974881708621979,0.4974589943885803,0.20917616192407212,0.886709599988535
20,0.4781443178653717,0.4781130254268646,0.21960216589216508,0.8585657000076026
21,0.4595203399658203,0.45948681235313416,0.22860454629279342,0.8353327000513673
22,0.43971487879753113,0.43967896699905396,0.23545470635587148,0.9440640998072922
23,0.41965392231941223,0.4196154773235321,0.24301319677944638,0.9346330999396741
24,0.39952561259269714,0.3994845449924469,0.2505172396476837,0.9802218999247998
25,0.3797330856323242,0.3796893060207367,0.2581453928150443,0.9392007999122143
26,0.3602363169193268,0.36018967628479004,0.26486743722465267,0.938082099892199
27,0.3405771255493164,0.3405275344848633,0.2701923701085186,0.9324317001737654
28,0.32105332612991333,0.3210006356239319,0.2750056260988904,0.9626237999182194
29,0.3017248511314392,0.3016689717769623,0.27962753914001476,0.9315853998996317
30,0.2832048833370209,0.2831457853317261,0.28447665375948156,0.9292158999014646
31,0.2655298113822937,0.2654673755168915,0.2885469686870857,1.0250935000367463
32,0.2485312670469284,0.2484654188156128,0.2933166534961341,1.0190929998643696
33,0.23181386291980743,0.23174452781677246,0.29670993639164533,1.1652588001452386
34,0.21651065349578857,0.21643783152103424,0.3008951874815842,0.9294932999182492
35,0.20234325528144836,0.2022668421268463,0.30440275416320256,0.9231557999737561
36,0.18828335404396057,0.18820330500602722,0.30818947865941215,0.9349733998533338
37,0.17558182775974274,0.17549818754196167,0.3120073631039072,0.9396897000260651
38,0.16330762207508087,0.16322031617164612,0.3157119977049166,0.9287546998821199
39,0.15168888866901398,0.15159785747528076,0.31886882508899733,0.9366564999800175
40,0.14166568219661713,0.1415710151195526,0.32188924597781043,0.9517975999042392
41,0.13215988874435425,0.13206155598163605,0.3238999792221226,0.9518061000853777
42,0.123636893928051,0.12353499978780746,0.3263359773258861,0.9538324000313878
43,0.11565307527780533,0.1155475527048111,0.32878097703389403,0.9184340999927372
44,0.1078093945980072,0.10770032554864883,0.3307475293266247,0.9279655001591891
45,0.10130567848682404,0.10119321197271347,0.3326281536367212,0.9497007001191378
46,0.09524492919445038,0.09512899070978165,0.3346721816795224,0.9286288998555392
47,0.08953133225440979,0.08941198140382767,0.3359538213833982,1.0217355999629945
48,0.08488040417432785,0.08475777506828308,0.33760189942477453,0.9702379999216646
49,0.08003049343824387,0.07990458607673645,0.3387840420424149,1.004838100168854
50,0.07528259605169296,0.07515363395214081,0.340436911240828,0.9407349999528378
51,0.07146512717008591,0.07133302092552185,0.34187489426809836,1.0317046998534352
52,0.06854213774204254,0.06840692460536957,0.34314666086116014,0.9749022999312729
53,0.06452737003564835,0.06438940018415451,0.34447004263334086,0.9411048998590559
54,0.061953265219926834,0.06181247904896736,0.34556517466010706,0.9204191002063453
55,0.05845298618078232,0.0583094023168087,0.3465020421856676,0.9376636000815779
56,0.05621115118265152,0.05606484413146973,0.3476089936923095,0.9347347998991609
57,0.05384908616542816,0.05370019003748894,0.34890993784012836,0.9790956999640912
58,0.05163642019033432,0.05148498713970184,0.34946703012195957,0.9833097001537681
59,0.049417175352573395,0.04926333948969841,0.3504991952553539,0.9355912001337856
60,0.048242371529340744,0.04808616265654564,0.3515067965849125,0.9561859001405537
61,0.045528594404459,0.04537010192871094,0.3528469841723974,0.9626613999716938
62,0.044505901634693146,0.04434521496295929,0.3537832505313682,0.947959299897775
63,0.04310981556773186,0.04294692724943161,0.3549062992767375,0.8908925000578165
64,0.04159725457429886,0.04143233224749565,0.35544988951043904,0.911080100107938
65,0.03993396461009979,0.039767101407051086,0.35583984691376425,0.9655386998783797
66,0.03882864862680435,0.038659773766994476,0.35648204132155753,0.9298658999614418
67,0.03777622431516647,0.03760543465614319,0.357014995224868,0.9827059002127498
68,0.03666183352470398,0.036489345133304596,0.35811452409405153,1.1725624001119286
69,0.03582233190536499,0.035648100078105927,0.35884407558828946,0.8854801999405026
70,0.03439721837639809,0.03422117605805397,0.359741128542344,1.05844709998928
71,0.03395147994160652,0.033773817121982574,0.3602660863027878,0.9951214001048356
72,0.032737866044044495,0.032558735460042953,0.3607576115227504,0.7988273999653757
73,0.03188683092594147,0.0317060612142086,0.36128819823052283,0.9565602000802755
74,0.03125610575079918,0.031073788180947304,0.3621022378616886,1.1023056998383254
75,0.03049369901418686,0.030309947207570076,0.3627905862368706,0.8854493000544608
76,0.03015849180519581,0.029973313212394714,0.36367747905765374,0.8716213000006974
77,0.029596805572509766,0.029410075396299362,0.3639663843470904,0.8181497000623494
78,0.02853243052959442,0.028344502672553062,0.3642534536636992,0.8127450000029057
79,0.028022125363349915,0.027832910418510437,0.3645154782757436,0.8117433001752943
80,0.02756623364984989,0.027375726029276848,0.36488955586673405,0.8992256999481469
81,0.027086500078439713,0.026894673705101013,0.3653521975654917,1.0977811000775546
82,0.026447586715221405,0.026254577562212944,0.36569295791265277,0.8099398000631481
83,0.026180226355791092,0.025985995307564735,0.36621734073894924,0.8045845001470298
84,0.025242341682314873,0.025046993046998978,0.3665697460675266,0.7937648999504745
85,0.025061503052711487,0.024865025654435158,0.36717910946766896,0.96572560002096
86,0.02455396205186844,0.02435627207159996,0.3678703962776142,0.8379410000052303
87,0.02392728067934513,0.02372859977185726,0.3678947730710624,0.8416152000427246
88,0.02381903864443302,0.023619195446372032,0.36837291960487684,0.7702843998558819
89,0.023261547088623047,0.023060843348503113,0.3688089915580862,0.7980820999946445
90,0.022773602977395058,0.02257184311747551,0.36919136674029024,0.8120705999899656
91,0.02261931076645851,0.022416412830352783,0.36946724627175603,0.8085958999581635
92,0.02244565077126026,0.022241812199354172,0.36989452724556093,0.8045902999583632
93,0.02213541604578495,0.021930670365691185,0.37020284542693815,0.7754509001970291
94,0.02168925479054451,0.02148354984819889,0.37034313632162147,0.8400782998651266
95,0.02123910002410412,0.021032489836215973,0.37075898082409137,0.79675960005261
96,0.020451607182621956,0.020243974402546883,0.370942300358118,0.826874400023371
97,0.02060866728425026,0.02040008455514908,0.37127678843952266,0.7934866000432521
98,0.020200392231345177,0.019990986213088036,0.37144010470627664,0.7798007999081165
99,0.020175741985440254,0.019965410232543945,0.3716376001925636,0.8201921000145376
100,0.019897496327757835,0.019686328247189522,0.3719473868721316,0.9052909999154508
101,0.019229568541049957,0.019017567858099937,0.3723180710438596,0.9764729000162333
102,0.019371272996068,0.019158445298671722,0.37281588198308674,1.079046000028029
103,0.018743254244327545,0.0185295008122921,0.373110822930919,0.806908399797976
104,0.018589895218610764,0.018375374376773834,0.3734037470900641,0.8519866999704391
105,0.01860745996236801,0.018392188474535942,0.37348239933892446,0.8213880001567304
106,0.018376169726252556,0.01816001534461975,0.3738540208994455,0.7788099001627415
107,0.0180334635078907,0.017816487699747086,0.3738358329254662,0.8181104001123458
108,0.017500078305602074,0.017282497137784958,0.37422567543290763,0.7808047998696566
109,0.017584728077054024,0.017366277053952217,0.3743086510478285,0.8711030001286417
110,0.017281755805015564,0.01706244796514511,0.3744770955619651,0.7640549999196082
111,0.01700328290462494,0.016783252358436584,0.3745330460120694,0.7975806000176817
112,0.016907772049307823,0.01668696478009224,0.37458962983947885,0.7634279001504183
113,0.016611240804195404,0.016389690339565277,0.37456076027271773,0.7892297999933362
114,0.016492467373609543,0.01627015881240368,0.3749807434322887,0.771740100113675
115,0.01627010479569435,0.01604706235229969,0.37530801894226795,0.8465116999577731
116,0.015688147395849228,0.015464531257748604,0.3756744435268615,0.7890635998919606
117,0.01578439585864544,0.01555995736271143,0.3758437516029342,0.8272851998917758
118,0.015660148113965988,0.015434984117746353,0.37620190388044594,0.8254089001566172
119,0.016136394813656807,0.015910552814602852,0.37682997780211186,0.8062116000801325
120,0.01578470505774021,0.01555808074772358,0.37697205690675495,0.807196400128305
121,0.015454032458364964,0.015226793475449085,0.37710744506772625,0.9040645998902619
122,0.014997920021414757,0.014769920147955418,0.37735178748296794,0.800901300041005
123,0.015205439180135727,0.014976885169744492,0.37773622350197356,1.0690951000433415
124,0.014796644449234009,0.014567200094461441,0.37776205948004143,0.9017759999260306
