audio_features_available,node_count,mean_spud_popularity,median_spud_popularity,mean_graph_degree,median_graph_degree,p90_graph_degree,metadata_status
0,403855,0.11646831164651718,0.06,2.421834569338005,1,4,Audio missing
1,11265,0.32691256102973804,0.32,4.14034620505992,2,9,Audio available
