,spud_popularity,log_duration_seconds,log_playlist_degree,audio_features_available
spud_popularity,1.0,-0.01462640124313757,0.17602882552845991,0.24150740538677207
log_duration_seconds,-0.01462640124313757,1.0,0.033685053258201016,-0.005395988895178849
log_playlist_degree,0.17602882552845991,0.033685053258201016,1.0,0.07811592523977154
audio_features_available,0.24150740538677207,-0.005395988895178849,0.07811592523977154,1.0
