spotify_track_id,track_title,artist_name,track_node_id,in_catalog,in_playlists,spud_popularity,audio_features_available,match_percent,rank,collaborative_similarity,audio_similarity,reason
2atNuBfixd6UCRoJFpSOeF,Kush Te Ndau Prej Meje,Shpat Kasapi,593170,True,False,0.0,True,30.7,1,0.69364613,,"Connected to your artist inspiration by a genre, country or shared artist credit"
0PCeYgJFcvvRdXZeAQJPHp,Qëndro,Unikkatil,133335,True,False,0.0,True,28.3,2,0.811349,,"Connected to your artist inspiration by a genre, country or shared artist credit"
7KZTvFqBB4GUA1nAMf9ZJ7,Valle Kosovare,Shpat Kasapi,1255206,True,False,0.0,True,27.6,3,0.6396781,,"Connected to your artist inspiration by a genre, country or shared artist credit"
6wbSMxhciCh9c8JWw7ZMeu,Për Qato (Bonus Track),Unikkatil,1209089,True,False,0.0,True,27.1,4,0.79412174,,"Connected to your artist inspiration by a genre, country or shared artist credit"
13Rcu26GyL5oMEAGWyyTpP,Like Rihanna,Young Zerka,293185,True,False,0.0,True,25.4,5,0.76049304,,"Connected to your artist inspiration by a genre, country or shared artist credit"
5m7RgJjW3tZmUcFhCloLfz,Vetbesim,Unikkatil,1063423,True,False,0.0,True,25.3,6,0.762371,,"Connected to your artist inspiration by a genre, country or shared artist credit"
5CjMnoD0Po2lDNiqAbiLzb,Kur Fjalet Mungojne,Alban Skenderaj,987691,False,False,0.18,False,25.0,7,0.609202,,"Connected to your artist inspiration by a genre, country or shared artist credit"
0ybdkTVuWkhbDwxRzCpkBS,Kejt Hajván (Remix),Unikkatil,275583,True,False,0.0,True,24.9,8,0.7516866,,"Connected to your artist inspiration by a genre, country or shared artist credit"
