,log_playlist_degree,popularity,spud_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
log_playlist_degree,1.0,0.3586912988031227,0.3418031429473596,-0.0807157844652322,0.07947296533352986,0.07922061829626974,-0.03597016320648874,-0.10614332636263112,0.05153201411815852,-0.02860995218511323,-0.09680101968697362,0.020668255315640153,0.06273605258638729,0.007882814531553635,-0.009139514328117016
popularity,0.3586912988031227,1.0,0.6694080971579743,0.09035089808206828,0.14541419677078224,0.26124912245992893,0.044391285881538074,-0.1527096098553616,-0.09163436394026708,-0.021109909359945028,-0.041553998473035425,0.014703011005727105,-0.010428612267454205,0.004341690257229423,-0.009627032414679715
spud_popularity,0.3418031429473596,0.6694080971579743,1.0,0.0340506013435406,0.12509851808971234,0.20864027420625855,0.058252429491821314,-0.13837480099641922,-0.0444567618175512,-0.006159369058624339,-0.08351409144052957,0.02515447352499232,-0.007387079734072331,-0.002183118938780159,-0.02165770484562137
danceability,-0.0807157844652322,0.09035089808206828,0.0340506013435406,1.0,0.0947952776063237,0.15577702369194857,0.12209924509962879,-0.12866622973707634,-0.2211879227899656,-0.10687915130000325,0.5565043344133035,-0.13765039664629017,-0.10778885263928507,0.021457997165702902,-0.05816890819449624
energy,0.07947296533352986,0.14541419677078224,0.12509851808971234,0.0947952776063237,1.0,0.751933860752223,0.1861641486142923,-0.7111348901766359,-0.1472090136060776,0.17411404539732836,0.34888295211586307,0.2099728840024527,-0.06042759404996133,0.02362803124642639,-0.05689974328004391
loudness,0.07922061829626974,0.26124912245992893,0.20864027420625855,0.15577702369194857,0.751933860752223,1.0,0.12156520114344806,-0.544693016280856,-0.32793424156855494,0.10219657030897014,0.21531197523970613,0.14648312312465797,-0.10460593147226695,0.017333329321845586,-0.04266737855406252
speechiness,-0.03597016320648874,0.044391285881538074,0.058252429491821314,0.12209924509962879,0.1861641486142923,0.12156520114344806,1.0,-0.10998367069857924,-0.06765330644153927,0.1267057260985589,0.07092553161769323,0.0411649441845594,-0.03567324966861646,0.024361852073954568,-0.05648784912461383
acousticness,-0.10614332636263112,-0.1527096098553616,-0.13837480099641922,-0.12866622973707634,-0.7111348901766359,-0.544693016280856,-0.10998367069857924,1.0,0.13976076491579173,-0.07064155892048661,-0.23788875779359775,-0.16455082667645132,-0.017573327680871744,-0.017745058698214574,0.054034953368397975
instrumentalness,0.05153201411815852,-0.09163436394026708,-0.0444567618175512,-0.2211879227899656,-0.1472090136060776,-0.32793424156855494,-0.06765330644153927,0.13976076491579173,1.0,-0.04702404831974704,-0.2180255341748995,-0.049864603224398965,0.17722870755354275,0.002538553996616402,-0.042629573896703604
liveness,-0.02860995218511323,-0.021109909359945028,-0.006159369058624339,-0.10687915130000325,0.17411404539732836,0.10219657030897014,0.1267057260985589,-0.07064155892048661,-0.04702404831974704,1.0,-0.005069116420190574,0.023364795049238357,-0.0005937043553384719,0.015696194016367192,-0.011774232753361065
valence,-0.09680101968697362,-0.041553998473035425,-0.08351409144052957,0.5565043344133035,0.34888295211586307,0.21531197523970613,0.07092553161769323,-0.23788875779359775,-0.2180255341748995,-0.005069116420190574,1.0,0.08028886146266738,-0.1856914640284639,0.0250369330934623,-0.01347416131892381
tempo,0.020668255315640153,0.014703011005727105,0.02515447352499232,-0.13765039664629017,0.2099728840024527,0.14648312312465797,0.0411649441845594,-0.16455082667645132,-0.049864603224398965,0.023364795049238357,0.08028886146266738,1.0,-0.03206485183628567,0.0035263377216038353,0.0023653395123309265
duration_ms,0.06273605258638729,-0.010428612267454205,-0.007387079734072331,-0.10778885263928507,-0.06042759404996133,-0.10460593147226695,-0.03567324966861646,-0.017573327680871744,0.17722870755354275,-0.0005937043553384719,-0.1856914640284639,-0.03206485183628567,1.0,0.004010477158083625,-0.05413791194002669
key,0.007882814531553635,0.004341690257229423,-0.002183118938780159,0.021457997165702902,0.02362803124642639,0.017333329321845586,0.024361852073954568,-0.017745058698214574,0.002538553996616402,0.015696194016367192,0.0250369330934623,0.0035263377216038353,0.004010477158083625,1.0,-0.13090829769865128
mode,-0.009139514328117016,-0.009627032414679715,-0.02165770484562137,-0.05816890819449624,-0.05689974328004391,-0.04266737855406252,-0.05648784912461383,0.054034953368397975,-0.042629573896703604,-0.011774232753361065,-0.01347416131892381,0.0023653395123309265,-0.05413791194002669,-0.13090829769865128,1.0
