epoch,bpr_loss,validation_ndcg_at_10,elapsed_seconds
1,0.23784590240945477,0.6376253936285934,214.14365180000004
2,0.16178585190771952,0.6261453706541793,332.1411131
3,0.14663785300002669,0.6242024878529415,436.223165
4,0.13984828816569922,0.6255752210541863,547.8952842000001
5,0.13558187531913138,0.6207955284123625,647.3026643999999
6,0.1326245497594765,0.6268234674134259,748.3803628999999
7,0.12984358992018413,0.6187705165411962,860.261659
8,0.12788645502476714,0.6233305743457181,960.7937744000001
9,0.12578870797271827,0.6237161382341494,1059.9560738
10,0.12400495315071962,0.6258962609618148,1160.693486
