epoch,bpr_loss,validation_ndcg_at_10,elapsed_seconds
1,0.2716363128136723,0.6055447288736016,58.39418559987098
2,0.1845862376251362,0.5948867565359144,97.17950779991224
3,0.16678595567229412,0.5904046332187002,136.76527260011062
4,0.1599454161204513,0.5843937666358475,182.7279675998725
5,0.15472325863541195,0.5857319359167831,222.91618919977918
6,0.1517347993680314,0.5842827099513781,265.54835689999163
7,0.14829448004846738,0.5848128673766446,307.5275592999533
8,0.14569225429150418,0.585232767009841,357.3777862000279
9,0.14447758903199232,0.5849096762760609,393.3171739997342
10,0.14151853078095022,0.5861357628538446,431.876697700005
