model,recall_at_10,ndcg_at_10,hit_rate_at_10,mrr_at_10,evaluated_playlists,recommended_unique_tracks,catalog_coverage_at_10,best_epoch,parameters,training_seconds,metadata_weight
random,0.09304841361679086,0.08598137396091379,0.423828125,0.15331914992559526,1024,10117,0.007726770046679864,,,,
popularity,0.3904501109901981,0.3960611405914116,0.7490234375,0.5023356119791667,1024,8920,0.0068125717916758316,,,,
lightgcn,0.5708377835734414,0.6228682965186572,0.8857421875,0.7397197420634921,1024,9519,0.007270052789793973,1.0,2048.0,266.5555031001568,0.6
sign,0.583669672256421,0.642270342185567,0.896484375,0.7674979073660714,1024,9766,0.007458696874159885,1.0,66176.0,439.8210199996829,0.6
residual_sign,0.6068577727186947,0.6654573142530635,0.908203125,0.7874562096974206,1024,9835,0.00751139501918518,1.0,379136.0,1179.1778303,0.6
