epoch,bpr_loss,validation_ndcg_at_10,elapsed_seconds
1,0.4067045914887002,0.5852171927172101,59.38177610002458
2,0.3728591151635667,0.5669446241216243,81.81819069990888
3,0.367778402122943,0.5627401736275768,104.31752909999341
4,0.3669099609123345,0.5644595771431853,127.03864909987897
5,0.36609191072793235,0.5635945705626666,149.43521969998255
6,0.3659614103097679,0.5662650898416581,172.3303485000506
7,0.36555058960794434,0.5666469187399571,195.30352060031146
8,0.3649179862295168,0.5660810876135697,217.7943168003112
9,0.3659579653062041,0.5683980432035507,240.22764240019023
10,0.3644642832136387,0.5689283431344383,263.89256690023467
